time,circuit_12V,temperature
12:30:25,0,0
12:30:26,0.8947911858558655,-0.44648489356040955
12:30:27,0.788252055644989,-0.6153525114059448
12:30:28,0.6502878665924072,-0.7596879005432129
12:30:29,0.48639869689941406,-0.8737369775772095
12:30:30,0.30311834812164307,-0.9529529213905334
12:30:31,0.10775364935398102,-0.9941776394844055
12:30:32,-0.09190685302019119,-0.9957675933837891
12:30:33,-0.2879033088684082,-0.9576594829559326
time,circuit_12V,temperature
20:13:06,0,0
20:13:07,0,0
20:13:08,0,0
20:13:09,0,0
20:13:10,0,0
20:13:11,0,0
20:13:12,0,0
20:13:13,0,0
20:13:14,0,0
20:13:15,0,0
20:13:16,0,0
20:13:17,0,0
20:13:18,0,0
20:13:19,0,0
